avgR,avgG,avgB,varR,varG,varB,label
1.056833e+02,1.120759e+02,1.305200e+02,7.314429e+01,7.079268e+01,7.770803e+01,0
9.996031e+01,1.234787e+02,1.620699e+02,2.853206e+01,3.228625e+01,4.990710e+01,0
1.042311e+02,1.090847e+02,1.232741e+02,5.268361e+01,4.313502e+01,6.016279e+01,0
2.070292e+02,2.073465e+02,2.141823e+02,3.409887e+01,3.211949e+01,3.927421e+01,0
9.528392e+01,1.687284e+02,1.650005e+02,6.397601e+01,6.035719e+01,6.868110e+01,0
1.309495e+02,1.606400e+02,1.331343e+02,7.633990e+01,6.760319e+01,6.191422e+01,0
1.433639e+02,1.577680e+02,1.703683e+02,5.996474e+01,5.645082e+01,6.778273e+01,0
9.685631e+01,1.245798e+02,1.530627e+02,8.698081e+01,7.052305e+01,6.430071e+01,0
7.451193e+01,1.112165e+02,1.267262e+02,3.827131e+01,4.880654e+01,5.431150e+01,0
7.846693e+01,1.036109e+02,1.252853e+02,5.126177e+01,4.838453e+01,5.736406e+01,0
1.067942e+02,1.494771e+02,1.602296e+02,4.199914e+01,3.621420e+01,3.162088e+01,0
9.301158e+01,1.319862e+02,1.560092e+02,5.661548e+01,5.769617e+01,5.683162e+01,0
1.019358e+02,1.404590e+02,1.703822e+02,4.622041e+01,4.240741e+01,4.382592e+01,0
1.164411e+02,1.442569e+02,1.538227e+02,1.013359e+02,6.784861e+01,4.716309e+01,0
8.094714e+01,1.234348e+02,1.182411e+02,2.940249e+01,2.061306e+01,2.611428e+01,0
1.043072e+02,9.486043e+01,9.425772e+01,6.654087e+01,5.276550e+01,4.289122e+01,0
9.969818e+01,1.229070e+02,1.074825e+02,5.350061e+01,5.832853e+01,5.395813e+01,0
6.308173e+01,1.099212e+02,1.316754e+02,3.729401e+01,3.510946e+01,5.149634e+01,0
8.648293e+01,1.385935e+02,1.687671e+02,7.116758e+01,5.346218e+01,6.409493e+01,0
1.126648e+02,1.466409e+02,1.446536e+02,8.135310e+01,6.611301e+01,7.112703e+01,0
8.589876e+01,1.582414e+02,1.543921e+02,7.712216e+01,6.598159e+01,5.543158e+01,0
9.375471e+01,9.998253e+01,1.090158e+02,5.344217e+01,6.033834e+01,6.147255e+01,0
1.386633e+02,1.625669e+02,1.771213e+02,5.568579e+01,3.495845e+01,2.915251e+01,0
5.421347e+01,8.610362e+01,1.467523e+02,4.336250e+01,5.007171e+01,7.786320e+01,0
6.041769e+01,7.612517e+01,1.327998e+02,5.802573e+01,5.509539e+01,5.210689e+01,0
9.878920e+01,1.523988e+02,1.732753e+02,4.980991e+01,4.724143e+01,5.699270e+01,0
8.342122e+01,8.091193e+01,7.460297e+01,5.726258e+01,5.494681e+01,5.389318e+01,0
1.076060e+02,1.014134e+02,1.264162e+02,4.391493e+01,3.120598e+01,2.831037e+01,0
6.398167e+01,9.253856e+01,1.219871e+02,5.702515e+01,6.074378e+01,6.900715e+01,0
7.817889e+01,9.373921e+01,1.117844e+02,5.184904e+01,6.163723e+01,7.138001e+01,0
5.401492e+01,7.853802e+01,1.056292e+02,5.706860e+01,6.082445e+01,6.835220e+01,0
3.521919e+01,7.921957e+01,1.279369e+02,3.625157e+01,3.686531e+01,3.825578e+01,0
7.823825e+01,8.719682e+01,1.062403e+02,6.413717e+01,6.475366e+01,5.970685e+01,0
1.187988e+02,1.134285e+02,1.451568e+02,7.096457e+01,6.129961e+01,7.109491e+01,0
9.074603e+01,1.107343e+02,1.438611e+02,5.691092e+01,4.518391e+01,4.349023e+01,0
1.078415e+02,1.182023e+02,1.324887e+02,8.370750e+01,6.031533e+01,4.267134e+01,0
6.943863e+01,9.101587e+01,1.261409e+02,5.516904e+01,4.611456e+01,3.948484e+01,0
6.443903e+01,9.143922e+01,1.239204e+02,4.647732e+01,4.865042e+01,6.254607e+01,0
1.082542e+02,1.268586e+02,1.366398e+02,3.464665e+01,3.910006e+01,3.781458e+01,0
1.145629e+02,1.374999e+02,1.423415e+02,5.495206e+01,5.304039e+01,5.459308e+01,0
1.220718e+02,1.272698e+02,1.803918e+02,4.267382e+01,4.547954e+01,6.470495e+01,0
5.568663e+01,7.063339e+01,7.766708e+01,5.286208e+01,4.891488e+01,4.485801e+01,0
1.554750e+02,1.393583e+02,1.354926e+02,6.370272e+01,5.742841e+01,4.542810e+01,0
1.286895e+02,1.391046e+02,1.528409e+02,4.683417e+01,4.789389e+01,4.906407e+01,0
1.702937e+02,1.629316e+02,1.592899e+02,5.965823e+01,6.169433e+01,6.191484e+01,0
1.123186e+02,9.964836e+01,1.041129e+02,4.786488e+01,5.050272e+01,4.935029e+01,0
1.369944e+02,1.806219e+02,2.135261e+02,3.866788e+01,2.586854e+01,1.846287e+01,0
1.251518e+02,1.426083e+02,1.466268e+02,6.571534e+01,6.790879e+01,7.662897e+01,0
1.223459e+02,1.589224e+02,1.902740e+02,5.241659e+01,4.509706e+01,3.614117e+01,0
1.362151e+02,1.261400e+02,1.169391e+02,7.506173e+01,6.418568e+01,4.373295e+01,0
1.076693e+02,1.114819e+02,1.178877e+02,3.386829e+01,3.444978e+01,3.413230e+01,0
1.513014e+02,1.668426e+02,1.826882e+02,5.047348e+01,5.299334e+01,5.587548e+01,0
1.893637e+02,1.904753e+02,1.972962e+02,5.667503e+01,5.551362e+01,5.594753e+01,0
9.211595e+01,1.381427e+02,1.889899e+02,4.995475e+01,2.816205e+01,3.860614e+01,0
1.537263e+02,1.623575e+02,1.663267e+02,5.739611e+01,5.840030e+01,5.979199e+01,0
1.181843e+02,1.701322e+02,1.812680e+02,6.578120e+01,5.315482e+01,5.443455e+01,0
1.288792e+02,1.569357e+02,1.852972e+02,6.183227e+01,5.507026e+01,5.751473e+01,0
1.447366e+02,1.595529e+02,1.776140e+02,4.263737e+01,4.168661e+01,4.139860e+01,0
1.018360e+02,9.032336e+01,6.503262e+01,7.917689e+01,6.171684e+01,3.478835e+01,0
1.111176e+02,1.209387e+02,1.308337e+02,4.284637e+01,4.542461e+01,4.872222e+01,0
1.089251e+02,1.340549e+02,1.338854e+02,2.854360e+01,3.007527e+01,3.133134e+01,0
1.390422e+02,1.621379e+02,1.888580e+02,5.656634e+01,3.683603e+01,2.822664e+01,0
1.410567e+02,1.606840e+02,1.644719e+02,6.312151e+01,5.989319e+01,6.098727e+01,0
1.329725e+02,1.405631e+02,1.334363e+02,4.249580e+01,4.730383e+01,5.634662e+01,0
1.063028e+02,1.053377e+02,1.191383e+02,7.772970e+01,7.434721e+01,6.789024e+01,0
1.145962e+02,1.150221e+02,1.179665e+02,8.701278e+01,8.533863e+01,7.216350e+01,0
9.986186e+01,8.580801e+01,7.674155e+01,5.780012e+01,4.350223e+01,2.689778e+01,0
8.306627e+01,1.003294e+02,1.139686e+02,3.665298e+01,4.346844e+01,4.836617e+01,0
1.634227e+02,1.757656e+02,1.859443e+02,4.601633e+01,4.154518e+01,3.052114e+01,0
1.349064e+02,1.494389e+02,1.448156e+02,4.976945e+01,4.754510e+01,4.999264e+01,0
6.396648e+01,1.197026e+02,1.394765e+02,2.212098e+01,2.878825e+01,2.642011e+01,0
1.218742e+02,9.550084e+01,7.193915e+01,3.413229e+01,2.874489e+01,2.407981e+01,0
